date,account,category,amount,currency,converted amount,currency,description
16/05/2023,Cash,Taxi,-210,INR,-210,INR,Auto
16/05/2023,Cash,Bills,-175,INR,-175,INR,Water bill
17/05/2023,Cash,Car,-200,INR,-200,INR,Petrol
17/05/2023,Cash,Toiletry,-50,INR,-50,INR,Paste soaps
17/05/2023,Cash,Native trip,-252.15,INR,-252.15,INR,June 23rd ticket train bangalore to puttur
19/05/2023,Cash,Thota work,-600,INR,-600,INR,Chandappa work 
19/05/2023,Cash,Eating out,-30,INR,-30,INR,Kokum juice
19/05/2023,Cash,Food,-20,INR,-20,INR,Milk
19/05/2023,Cash,Food,-76,INR,-76,INR,Fruits
20/05/2023,Cash,Eating out,-35,INR,-35,INR,Raagi roti
20/05/2023,Cash,Eating out,-15,INR,-15,INR,Majjige
20/05/2023,Cash,Eating out,-90,INR,-90,INR,Sev puri juice
21/05/2023,Cash,Car,-200,INR,-200,INR,Petrol
21/05/2023,Cash,Gifts,"-3,000",INR,"-3,000",INR,Nema sheet gift
21/05/2023,Cash,Gifts,-900,INR,-900,INR,Sanjana parents anniversary gift
21/05/2023,Cash,Wants,-320,INR,-320,INR,Book how to talk to anyone
21/05/2023,Cash,Unexpected,-30,INR,-30,INR,Bag repair
22/05/2023,Cash,Eating out,-40,INR,-40,INR,Fruit bowl
22/05/2023,Cash,Food,-157,INR,-157,INR,Fruits and milk
23/05/2023,Cash,House construction,"-5,500",INR,"-5,500",INR,Fiber net installation
23/05/2023,Cash,Cashback,"3,520",INR,"3,520",INR,Income tax refund
24/05/2023,Cash,Eating out,-30,INR,-30,INR,Sprouts masala
24/05/2023,Cash,Food,-547,INR,-547,INR,Vegetables and Fruits
24/05/2023,Cash,Toiletry,-120,INR,-120,INR,Paste
24/05/2023,Cash,Food,-61,INR,-61,INR,Milk biscuits 
24/05/2023,Cash,Taxi,-100,INR,-100,INR,Transportation 
24/05/2023,Cash,Car,-100,INR,-100,INR,Petrol
25/05/2023,Cash,Eating out,-30,INR,-30,INR,Sprouts masala
25/05/2023,Cash,Unexpected,-100,INR,-100,INR,Dad specs repair
25/05/2023,Cash,Taxi,-70,INR,-70,INR,Auto
25/05/2023,Cash,Gifts,-70,INR,-70,INR,Temple
25/05/2023,Cash,Dad's expenses,-16,INR,-16,INR,Misc
25/05/2023,Cash,Eating out,-25,INR,-25,INR,Badam milk
26/05/2023,Cash,Taxi,-50,INR,-50,INR,Auto
26/05/2023,Cash,Transport,-15,INR,-15,INR,Bus to vitla
26/05/2023,Cash,House construction,"-6,500",INR,"-6,500",INR,Gruhapravesha purohitru saman
26/05/2023,Cash,Taxi,-280,INR,-280,INR,Auto
26/05/2023,Cash,Transport,-30,INR,-30,INR,Vitla to bakrabail
26/05/2023,Cash,Bills,"-3,200",INR,"-3,200",INR,Native broadband recharge 6 months
26/05/2023,Cash,Car,-120,INR,-120,INR,Petrol native
26/05/2023,Cash,Food,-80,INR,-80,INR,Fruits
28/05/2023,Cash,Food,-250,INR,-250,INR,Santa gfruits vegetables
28/05/2023,Cash,Food,-162,INR,-162,INR,Grocceries
28/05/2023,Cash,Native trip,-504.3,INR,-504.3,INR,2 train tickets
28/05/2023,Cash,Gifts,-150,INR,-150,INR,Shani pooje and kaanike
29/05/2023,Cash,Food,-240,INR,-240,INR,Rsuk pet food and stuff
30/05/2023,Cash,Transport,-143,INR,-143,INR,Transportation 
30/05/2023,Cash,Food,-69,INR,-69,INR,Milk rusk
30/05/2023,Cash,Dad's expenses,-100,INR,-100,INR,Mom's expense
31/05/2023,Cash,Salary,"51,355",INR,"51,355",INR,Salary
31/05/2023,Cash,House construction,"-18,800",INR,"-18,800",INR,Studio table
31/05/2023,Cash,House construction,"-10,000",INR,"-10,000",INR,Karna emergency granite
31/05/2023,Cash,Taxi,-80,INR,-80,INR,Auto
31/05/2023,Cash,Transport,-10,INR,-10,INR,Bus
31/05/2023,Cash,Eating out,-147,INR,-147,INR,Soup and gobi
31/05/2023,Cash,Food,-20,INR,-20,INR,Water bottle
01/06/2023,Cash,Cashback,"2,065",INR,"2,065",INR,Sb interest 
01/06/2023,Cash,Car,-150,INR,-150,INR,Petrol
01/06/2023,Cash,Food,-133,INR,-133,INR,Fruits
01/06/2023,Cash,House,"-12,500",INR,"-12,500",INR,Rent
02/06/2023,Cash,Food,-549,INR,-549,INR,Honey organic
02/06/2023,Cash,Eating out,-25,INR,-25,INR,Gobi manchuri 
03/06/2023,Cash,Car,-100,INR,-100,INR,Petrol
04/06/2023,Cash,Clothes,"-6,698",INR,"-6,698",INR,Formal clothes
04/06/2023,Cash,Clothes,"-2,198",INR,"-2,198",INR,Shoe and t shirt
04/06/2023,Cash,Car,-20,INR,-20,INR,Parking
05/06/2023,Cash,Car,-200,INR,-200,INR,Petrol
05/06/2023,Cash,Bills,-917,INR,-917,INR,Bsnl bill
05/06/2023,Cash,Gifts,-150,INR,-150,INR,Temple
05/06/2023,Cash,Food,"-2,000",INR,"-2,000",INR,Milk
05/06/2023,Cash,Car,"-1,060",INR,"-1,060",INR,Bike insurance
05/06/2023,Cash,Food,-34,INR,-34,INR,Fruits
05/06/2023,Cash,Clothes,-273,INR,-273,INR,Belt
05/06/2023,Cash,Food,-20,INR,-20,INR,Milk
06/06/2023,Cash,Food,"-1,090",INR,"-1,090",INR,Vegetables 
06/06/2023,Cash,Transport,-80,INR,-80,INR,Transport 
06/06/2023,Cash,Clothes,"-3,894",INR,"-3,894",INR,Shirts pants tshirt 
06/06/2023,Cash,Clothes,-70,INR,-70,INR,Shoe lace
06/06/2023,Cash,Car,-30,INR,-30,INR,Mantri parking
06/06/2023,Cash,Clothes,-250,INR,-250,INR,Belt
07/06/2023,Cash,Gifts,"-5,000",INR,"-5,000",INR,Vorkady devasthana donation
08/06/2023,Cash,Eating out,-35,INR,-35,INR,Mango juice
08/06/2023,Cash,House construction,"-16,000",INR,"-16,000",INR,Karna final settlement
08/06/2023,Cash,Gifts,-500,INR,-500,INR,Karanthru thambila
08/06/2023,Cash,Food,"-1,240",INR,"-1,240",INR,Gas cylinder 
08/06/2023,Cash,Eating out,-72,INR,-72,INR,Snacks cofee
08/06/2023,Cash,Food,-45,INR,-45,INR,Badam milk + milk
08/06/2023,Cash,Bills,-189,INR,-189,INR,Water bill
08/06/2023,Cash,Car,-200,INR,-200,INR,Petrol
09/06/2023,Cash,Food,-332,INR,-332,INR,"Maggie , avlakki mix ,cake"
10/06/2023,Cash,Eating out,-45,INR,-45,INR,Idli 
10/06/2023,Cash,Food,-46,INR,-46,INR,Banana
10/06/2023,Cash,Food,-20,INR,-20,INR,Soya chunk
10/06/2023,Cash,Home loan Emi,"-19,111",INR,"-19,111",INR,Home loan interest emi
10/06/2023,Cash,Unexpected,"-1,700",INR,"-1,700",INR,Fan repair
10/06/2023,Cash,Clothes,"-1,299",INR,"-1,299",INR,Trimmer
10/06/2023,Cash,House construction,"-25,000",INR,"-25,000",INR,Viveka electric work pending 1
11/06/2023,Cash,Eating out,-70,INR,-70,INR,Breakfast + coffee 
11/06/2023,Cash,Bills,-180,INR,-180,INR,Vodaphone recharge 
11/06/2023,Cash,House construction,"-11,365",INR,"-11,365",INR,Viveka electric work pending 2
12/06/2023,Cash,Food,-24,INR,-24,INR,Soy lemon
12/06/2023,Cash,Eating out,-35,INR,-35,INR,Jolad Rotti
12/06/2023,Cash,Car,-200,INR,-200,INR,Petrol
12/06/2023,Cash,Transport,-155,INR,-155,INR,Transportation 
12/06/2023,Cash,Eating out,-50,INR,-50,INR,Meals
12/06/2023,Cash,Health,-390,INR,-390,INR,Medicines
12/06/2023,Cash,Gifts,-720,INR,-720,INR,Pooja items including saree
12/06/2023,Cash,Food,-90,INR,-90,INR,Groccery 
12/06/2023,Cash,Home loan Emi,"-1,933",INR,"-1,933",INR,Emi principal component 
13/06/2023,Cash,Eating out,-30,INR,-30,INR,Idli
13/06/2023,Cash,Eating out,-35,INR,-35,INR,Akki rotti
14/06/2023,Cash,Eating out,-30,INR,-30,INR,Idli
14/06/2023,Cash,Food,-26,INR,-26,INR,Soya chunk lemon
14/06/2023,Cash,Native trip,-252.14,INR,-252.14,INR,Train booking for July 3rd
14/06/2023,Cash,Investment,"-2,000",INR,"-2,000",INR,Index fund Investment
14/06/2023,Cash,Food,-50,INR,-50,INR,2 badam milk
14/06/2023,Cash,Food,-80,INR,-80,INR,Orange
15/06/2023,Cash,Eating out,-40,INR,-40,INR,Pulyogarr
15/06/2023,Cash,Car,-155,INR,-155,INR,Petrol tyre
15/06/2023,Cash,Gifts,-50,INR,-50,INR,Nitin bday cake
15/06/2023,Cash,Investment,"-1,680",INR,"-1,680",INR,Lic
16/06/2023,Cash,Taxi,-60,INR,-60,INR,Auto
17/06/2023,Cash,Car,-100,INR,-100,INR,Petrol
17/06/2023,Cash,Food,-98,INR,-98,INR,Vegetables 
17/06/2023,Cash,Transport,-158,INR,-158,INR,Transportation 
17/06/2023,Cash,Clothes,-165,INR,-165,INR,Dad Chappal
17/06/2023,Cash,Gifts,-60,INR,-60,INR,Temple
19/06/2023,Cash,Transport,-43,INR,-43,INR,Bus puttur bakery
19/06/2023,Cash,Taxi,-50,INR,-50,INR,Auto
20/06/2023,Cash,Transport,-10,INR,-10,INR,Bus
21/06/2023,Cash,Eating out,-30,INR,-30,INR,Idli
21/06/2023,Cash,Food,-5,INR,-5,INR,Lemon
21/06/2023,Cash,House construction,"-35,000",INR,"-35,000",INR,Ganesha final settlement
21/06/2023,Cash,Food,-20,INR,-20,INR,Milk
21/06/2023,Cash,Food,-122,INR,-122,INR,Fruits
22/06/2023,Cash,Eating out,-60,INR,-60,INR,3 idli
22/06/2023,Cash,Car,-200,INR,-200,INR,Petrol
22/06/2023,Cash,Bills,-666,INR,-666,INR,Electricity bill 
22/06/2023,Cash,Eating out,-230,INR,-230,INR,Eating out
23/06/2023,Cash,Eating out,-45,INR,-45,INR,Idli
23/06/2023,Cash,Eating out,-50,INR,-50,INR,Sandwich
23/06/2023,Cash,Transport,-10,INR,-10,INR,Bus
24/06/2023,Cash,Transport,-43,INR,-43,INR,Puttur bakery 
24/06/2023,Cash,Taxi,-80,INR,-80,INR,Auto
24/06/2023,Cash,Health,-22,INR,-22,INR,Gelusil
24/06/2023,Cash,Health,-125,INR,-125,INR,"20 vet consult + ors , tonic for cat"
24/06/2023,Cash,Wants,-80,INR,-80,INR,Otg cable
24/06/2023,Cash,Food,-244,INR,-244,INR,Fruits
24/06/2023,Cash,Food,-35,INR,-35,INR,Vermicei
25/06/2023,Cash,Food,"-1,011",INR,"-1,011",INR,Pooja groccery
25/06/2023,Cash,Gifts,-180,INR,-180,INR,Temple
25/06/2023,Cash,Transport,-94,INR,-94,INR,Transportation 
25/06/2023,Cash,Gifts,-240,INR,-240,INR,Flower
25/06/2023,Cash,Food,-58,INR,-58,INR,Milk vegetables 
26/06/2023,Cash,Gifts,"-2,000",INR,"-2,000",INR,Karanth Durga pooje
26/06/2023,Cash,Gifts,"-1,500",INR,"-1,500",INR,Avinash Durga namaskara
26/06/2023,Cash,Gifts,-230,INR,-230,INR,Durga namaskara dhakshinw
26/06/2023,Cash,Bills,-80,INR,-80,INR,Akshath shreevastahàva menbership
26/06/2023,Cash,Car,-150,INR,-150,INR,Petrol
27/06/2023,Cash,Thota work,"-3,450",INR,"-3,450",INR,Adakke madhu 
28/06/2023,Cash,Investment,"-3,355",INR,"-3,355",INR,Hdfc bank investment
29/06/2023,Cash,Bills,-100,INR,-100,INR,Netflix
29/06/2023,Cash,Taxi,-80,INR,-80,INR,Auto
30/06/2023,Cash,Investment,"-1,000",INR,"-1,000",INR,Zerdoha margin balance maintanence 
30/06/2023,Cash,Salary,"52,833",INR,"52,833",INR,Salary june
01/07/2023,Cash,Clothes,-360,INR,-360,INR, Rain coat 3 
01/07/2023,Cash,Food,-55,INR,-55,INR,Vegetables
01/07/2023,Cash,Health,-61,INR,-61,INR,Sinarest
01/07/2023,Cash,Food,-290,INR,-290,INR,Grocceries
03/07/2023,Cash,Unexpected,-92,INR,-92,INR,Aani dodappa
03/07/2023,Cash,Taxi,-80,INR,-80,INR,Auto
03/07/2023,Cash,Taxi,-130,INR,-130,INR,Auto melkar to bc road
04/07/2023,Cash,Transport,-10,INR,-10,INR,Bus
04/07/2023,Cash,Wants,"-1,600",INR,"-1,600",INR,Iron box
04/07/2023,Cash,Food,-237,INR,-237,INR,Fruits
04/07/2023,Cash,Food,-36,INR,-36,INR,Milk buttermilk
04/07/2023,Cash,House,"-12,500",INR,"-12,500",INR,Rent
04/07/2023,Cash,Native trip,-538.95,INR,-538.95,INR,Ac chair car native sitting kbpr
04/07/2023,Cash,Native trip,-247.15,INR,-247.15,INR,
05/07/2023,Cash,Car,-358,INR,-358,INR,Petrol
05/07/2023,Cash,Native trip,-257.15,INR,-257.15,INR,Train ticket 17th
07/07/2023,Cash,Food,"-1,290",INR,"-1,290",INR,Gas cylinder 
07/07/2023,Cash,Bills,-197,INR,-197,INR,Bsnl mobile recharge
07/07/2023,Cash,Bills,"-1,386",INR,"-1,386",INR,Bsnl fiber landline bill 
08/07/2023,Cash,Native trip,-247.15,INR,-247.15,INR,August native
08/07/2023,Cash,Native trip,-257.15,INR,-257.15,INR,August native return trip
09/07/2023,Cash,Eating out,-65,INR,-65,INR,Breakfast + coffee 
09/07/2023,Cash,Food,-76,INR,-76,INR,Fruits
09/07/2023,Cash,Food,-51,INR,-51,INR,Milk buttermilk choclate
09/07/2023,Cash,Food,-10,INR,-10,INR,Maggi
10/07/2023,Cash,Home loan Emi,"-21,028",INR,"-21,028",INR,320+20708. Home Loan emi 
10/07/2023,Cash,Bills,-179,INR,-179,INR,Vodaphone recharge 
11/07/2023,Cash,Bills,-869,INR,-869,INR,Vorkady Electricity bill
11/07/2023,Cash,Investment,"-2,000",INR,"-2,000",INR,Groww investment
11/07/2023,Cash,Car,-450,INR,-450,INR,Full tank petrol 4.41 ltr
11/07/2023,Cash,Food,-240,INR,-240,INR,Steel items
11/07/2023,Cash,Food,-120,INR,-120,INR,Vegetables
11/07/2023,Cash,Transport,-110,INR,-110,INR,Transportation 
11/07/2023,Cash,Gifts,"-2,200",INR,"-2,200",INR,Shani pooja grocceries
12/07/2023,Cash,Bills,-50,INR,-50,INR,Free electricity application fee
12/07/2023,Cash,Food,-77,INR,-77,INR,Buttermilk upma maggie
13/07/2023,Cash,Eating out,-56,INR,-56,INR,Breakfast + coffee 
13/07/2023,Cash,Transport,-10,INR,-10,INR,Bus ticket
13/07/2023,Cash,Eating out,-60,INR,-60,INR,Snacks juice
13/07/2023,Cash,Eating out,-40,INR,-40,INR,Palav
13/07/2023,Cash,Taxi,-50,INR,-50,INR,Puttur auto
13/07/2023,Cash,Taxi,-80,INR,-80,INR,Auto
13/07/2023,Cash,Transport,-70,INR,-70,INR,Bus puttur to bakery
13/07/2023,Cash,Investment,"-1,680",INR,"-1,680",INR,Lic
14/07/2023,Cash,Bills,-659,INR,-659,INR,Bangalore electricity bill
14/07/2023,Cash,Bills,-271,INR,-271,INR,Water bill
15/07/2023,Cash,Gifts,-310,INR,-310,INR,Fruits vegetables for pooja
15/07/2023,Cash,Gifts,-410,INR,-410,INR,Flowers for pooja
15/07/2023,Cash,Gifts,-120,INR,-120,INR,Milk balehannu for pooje
17/07/2023,Cash,Taxi,-40,INR,-40,INR,Auto
17/07/2023,Cash,Transport,-48,INR,-48,INR,Bus 
18/07/2023,Cash,Cashback,477,INR,477,INR,Zerodha account clearance
18/07/2023,Cash,Food,-91,INR,-91,INR,Fruits vegetables
18/07/2023,Cash,Food,-20,INR,-20,INR,Milk
18/07/2023,Cash,Investment,"-1,000",INR,"-1,000",INR,Investment stocks
18/07/2023,Cash,Transport,-295,INR,-295,INR,Transportation
18/07/2023,Cash,Health,-200,INR,-200,INR,Medicine
18/07/2023,Cash,Clothes,-330,INR,-330,INR,Clothing
19/07/2023,Cash,Transport,-218,INR,-218,INR,Transportation
19/07/2023,Cash,Clothes,-510,INR,-510,INR,Chappal torch hat etc
19/07/2023,Cash,Investment,-500,INR,-500,INR,Investment
20/07/2023,Cash,Eating out,-732,INR,-732,INR,Eating out friends pool
20/07/2023,Cash,Food,-10,INR,-10,INR,Lemon
20/07/2023,Cash,Eating out,-12,INR,-12,INR,Tea
21/07/2023,Cash,Eating out,-27,INR,-27,INR,Maggie
21/07/2023,Cash,Eating out,-213,INR,-213,INR,Office lunch
21/07/2023,Cash,Clothes,-90,INR,-90,INR,Dad haircut
21/07/2023,Cash,Food,-100,INR,-100,INR,Groccery
21/07/2023,Cash,Taxi,-50,INR,-50,INR,Auto
21/07/2023,Cash,Gifts,-40,INR,-40,INR,Temple
22/07/2023,Cash,Food,-50,INR,-50,INR,Rice avalakki
22/07/2023,Cash,Gifts,-100,INR,-100,INR,Aati kalanja
22/07/2023,Cash,Food,-106,INR,-106,INR,Milk ice cream fruits
23/07/2023,Cash,Transport,-228,INR,-228,INR,Transportation 
23/07/2023,Cash,Eating out,-290,INR,-290,INR,Movie
23/07/2023,Cash,Eating out,-180,INR,-180,INR,Lunch
23/07/2023,Cash,Car,-396,INR,-396,INR,Petrol
23/07/2023,Cash,Investment,"-52,694",INR,"-52,694",INR,Lump sum index fund Investment 
24/07/2023,Cash,Thota work,-125,INR,-125,INR,Guava plant
25/07/2023,Cash,Eating out,-105,INR,-105,INR,Parrota gobi
26/07/2023,Cash,Food,-20,INR,-20,INR,Milk
26/07/2023,Cash,Food,-66,INR,-66,INR,Fruits
26/07/2023,Cash,Taxi,-160,INR,-160,INR,Auto mohan karanthr
26/07/2023,Cash,Selling,"2,000",INR,"2,000",INR,Aani selling
28/07/2023,Cash,Eating out,-30,INR,-30,INR,Idli
28/07/2023,Cash,Eating out,-20,INR,-20,INR,Tea
28/07/2023,Cash,Native trip,-252.15,INR,-252.15,INR,Native train booking
29/07/2023,Cash,Taxi,-600,INR,-600,INR,Uppala officer auto
29/07/2023,Cash,Gifts,-200,INR,-200,INR,Karthika pooja
30/07/2023,Cash,Thota work,-603,INR,-603,INR,Plants 
31/07/2023,Cash,Eating out,-30,INR,-30,INR,Idli
31/07/2023,Cash,Salary,"55,833",INR,"55,833",INR,Salary plus internet 3months alowance
31/07/2023,Cash,Eating out,-35,INR,-35,INR,Roti
01/08/2023,Cash,Car,"-3,640",INR,"-3,640",INR,Gaadi service
01/08/2023,Cash,Bills,-100,INR,-100,INR,Netflix
01/08/2023,Cash,Bills,-53,INR,-53,INR,Akshath shreevastahàva menbership
01/08/2023,Cash,House,"-13,000",INR,"-13,000",INR,Rent
01/08/2023,Cash,Eating out,-30,INR,-30,INR,Idli
01/08/2023,Cash,Car,-155,INR,-155,INR,Petrol
01/08/2023,Cash,Food,-535,INR,-535,INR,Grocceries
01/08/2023,Cash,Transport,-135,INR,-135,INR,Transportation 
01/08/2023,Cash,Food,-55,INR,-55,INR,Idli badam milk
02/08/2023,Cash,Eating out,-60,INR,-60,INR,Pongal
02/08/2023,Cash,Food,"-1,550",INR,"-1,550",INR,Milk
02/08/2023,Cash,Eating out,-35,INR,-35,INR,Meals
02/08/2023,Cash,Eating out,-64,INR,-64,INR,Noodles + coffee
02/08/2023,Cash,Agri selling,"15,000",INR,"15,000",INR,Arecanut selling
03/08/2023,Cash,Taxi,-80,INR,-80,INR,Auto
03/08/2023,Cash,Transport,-65,INR,-65,INR,Bus
03/08/2023,Cash,Native trip,-307.15,INR,-307.15,INR,Native trip return for 21st
04/08/2023,Cash,Bills,-588,INR,-588,INR,Bsnl bill ( 3rs + 22rs cashback on cred)
04/08/2023,Cash,Gifts,"-3,000",INR,"-3,000",INR,Shradha expenses
05/08/2023,Cash,Transport,-130,INR,-130,INR,Bus puttur 2
05/08/2023,Cash,Taxi,-40,INR,-40,INR,Auto
05/08/2023,Cash,Transport,-24,INR,-24,INR,Bus devasya
05/08/2023,Cash,Health,"-1,900",INR,"-1,900",INR,Eye consultation mine and mom's and mom's glasses
05/08/2023,Cash,Transport,-100,INR,-100,INR,Transportation 
05/08/2023,Cash,Gifts,-120,INR,-120,INR,Flowers
06/08/2023,Cash,Native trip,-247.15,INR,-247.15,INR,Dad train ticket bangalore
06/08/2023,Cash,Transport,-130,INR,-130,INR,Devasya to guvedthapadpu
06/08/2023,Cash,Transport,-30,INR,-30,INR,Anekal bakery
07/08/2023,Cash,Taxi,-40,INR,-40,INR,Auto
07/08/2023,Cash,Transport,-48,INR,-48,INR,Bus
08/08/2023,Cash,Transport,-10,INR,-10,INR,Bus
08/08/2023,Cash,Transport,-161,INR,-161,INR,Transportation 
08/08/2023,Cash,Food,-130,INR,-130,INR,Fruits vegetables
08/08/2023,Cash,Agri selling,"1,300",INR,"1,300",INR,Selling adake
08/08/2023,Cash,Unexpected,-500,INR,-500,INR,Mohan gave loan
09/08/2023,Cash,Car,-150,INR,-150,INR,Petrol
09/08/2023,Cash,Food,-22,INR,-22,INR,Milk
10/08/2023,Cash,Home loan Emi,"-21,028",INR,"-21,028",INR,320+20708. Home Loan emi 
10/08/2023,Cash,Eating out,-50,INR,-50,INR,Mahesh bday cake
11/08/2023,Cash,Investment,"-2,000",INR,"-2,000",INR,Groww Investment
11/08/2023,Cash,Eating out,-35,INR,-35,INR,Veg sandwich 
11/08/2023,Cash,Investment,"-1,680",INR,"-1,680",INR,Lic
11/08/2023,Cash,Thota work,"-4,000",INR,"-4,000",INR,Adakke madhu 
12/08/2023,Cash,Car,-420,INR,-420,INR,Full tank petrol 4.12
12/08/2023,Cash,Food,-75,INR,-75,INR,Milk items
12/08/2023,Cash,Unexpected,-20,INR,-20,INR,Extension repair
12/08/2023,Cash,Eating out,-30,INR,-30,INR,Idli
13/08/2023,Cash,Food,-55,INR,-55,INR,Fruits
13/08/2023,Cash,Food,-16,INR,-16,INR,Lemon soya
14/08/2023,Cash,Clothes,-130,INR,-130,INR,Clothes
14/08/2023,Cash,Food,-620,INR,-620,INR,Groccery
14/08/2023,Cash,Food,-190,INR,-190,INR,Fruits
14/08/2023,Cash,Transport,-332,INR,-332,INR,Transportation
15/08/2023,Cash,Gifts,-72,INR,-72,INR,Swetha bday cake
15/08/2023,Cash,Bills,-14,INR,-14,INR,Electricity bill 
15/08/2023,Cash,Food,-70,INR,-70,INR,Breakfast + coffee 
16/08/2023,Cash,Bills,-157,INR,-157,INR,Vodaphone recharge 
16/08/2023,Cash,Eating out,-105,INR,-105,INR,Gobi + cofee
16/08/2023,Cash,Agri selling,"1,560",INR,"1,560",INR,"1370 selling arecanut,190 selling banana"
16/08/2023,Cash,Transport,-180,INR,-180,INR,Transportation
16/08/2023,Cash,Food,"-1,240",INR,"-1,240",INR,Cylinder
16/08/2023,Cash,Food,-362,INR,-362,INR,Groccery + eatables
16/08/2023,Cash,Unexpected,-130,INR,-130,INR,Oggarane sout ajji
16/08/2023,Cash,Bills,-535,INR,-535,INR,Land tax
17/08/2023,Cash,Eating out,-15,INR,-15,INR,Buttermilk
18/08/2023,Cash,Transport,-52,INR,-52,INR,Bus
18/08/2023,Cash,Bills,-267,INR,-267,INR,Water bill 271 -4 rs cashback
19/08/2023,Cash,House construction,-60,INR,-60,INR,"Possession certificate , xerox"
19/08/2023,Cash,House construction,"-10,920",INR,"-10,920",INR,One time tax
19/08/2023,Cash,Food,-150,INR,-150,INR,Groccery
20/08/2023,Cash,Clothes,-100,INR,-100,INR,Haircut
21/08/2023,Cash,Taxi,-80,INR,-80,INR,Auto
21/08/2023,Cash,Eating out,-45,INR,-45,INR,Dose coffee bc road
21/08/2023,Cash,Transport,-75,INR,-75,INR,Bus ticket me and for chandrashekar master
21/08/2023,Cash,Deposits,663,INR,663,INR,Zerodha account clearance
21/08/2023,Cash,Native trip,-714,INR,-714,INR,Train booking 3 ac native
21/08/2023,Cash,Native trip,-867.5,INR,-867.5,INR,Native train booking 3 ppl
22/08/2023,Cash,Gifts,-320,INR,-320,INR,Karthika pooje tambila
22/08/2023,Cash,Health,-15,INR,-15,INR,Medicinal choclate
24/08/2023,Cash,Gifts,"-1,000",INR,"-1,000",INR,Prasanna vaasthu
24/08/2023,Cash,Car,-100,INR,-100,INR,Petrol
24/08/2023,Cash,Taxi,-160,INR,-160,INR,Auto mom
24/08/2023,Cash,Transport,-80,INR,-80,INR,Bus
24/08/2023,Cash,Cashback,115,INR,115,INR,Irctc refund
26/08/2023,Cash,Car,-150,INR,-150,INR,150 credit card petrol 1.47 litter 
28/08/2023,Cash,Food,-890,INR,-890,INR,Groccery
28/08/2023,Cash,Food,-80,INR,-80,INR,Frutis
28/08/2023,Cash,Transport,-80,INR,-80,INR,Transportation 
28/08/2023,Cash,Clothes,-370,INR,-370,INR,Dress
28/08/2023,Cash,Thota work,-210,INR,-210,INR,Diesel to burn kudolu
28/08/2023,Cash,Agri selling,320,INR,320,INR,Arecanut selling
28/08/2023,Cash,Food,-56,INR,-56,INR,Biscuits milk
28/08/2023,Cash,Loan,206,INR,206,INR,Credit card spending
29/08/2023,Cash,Car,-450,INR,-450,INR,Full tank petrol 4.41 ltr 
29/08/2023,Cash,Loan,450,INR,450,INR,Credit card petrol 4.41ltr
29/08/2023,Cash,Food,-67,INR,-67,INR,"Dates , soup"
30/08/2023,Cash,Eating out,-30,INR,-30,INR,Idli
30/08/2023,Cash,Bills,-586,INR,-586,INR,Credit card Fee Annual
30/08/2023,Cash,Bills,-100,INR,-100,INR,Netflix
31/08/2023,Cash,Salary,"52,833",INR,"52,833",INR,Salary 
01/09/2023,Cash,Eating out,-40,INR,-40,INR,Idli
01/09/2023,Cash,Native trip,-297.15,INR,-297.15,INR,Train native
01/09/2023,Cash,Native trip,-257.5,INR,-257.5,INR,Train native
01/09/2023,Cash,Native trip,-502,INR,-502,INR,Parents bangalore ticket 2
01/09/2023,Cash,Bills,-605.56,INR,-605.56,INR,Credit card bill
01/09/2023,Cash,Transport,-90,INR,-90,INR,Transportation 
01/09/2023,Cash,Wants,"-15,800",INR,"-15,800",INR,Guitar
01/09/2023,Cash,Eating out,-50,INR,-50,INR,Set dose
02/09/2023,Cash,Gifts,-30,INR,-30,INR,Elle enne temple
02/09/2023,Cash,House,"-13,000",INR,"-13,000",INR,Rent
03/09/2023,Cash,Eating out,-70,INR,-70,INR,Breakfast 
03/09/2023,Cash,Food,-251.4,INR,-251.4,INR,Buy and save grocceries
03/09/2023,Cash,Loan,251.4,INR,251.4,INR,Credit card loan
03/09/2023,Cash,Food,-70,INR,-70,INR,Kodi godi
03/09/2023,Cash,Food,-130,INR,-130,INR,0.25 kg cofee 80 20
03/09/2023,Cash,Food,-18,INR,-18,INR,Majjige
04/09/2023,Cash,Eating out,-30,INR,-30,INR,Idli
04/09/2023,Cash,Bills,-589,INR,-589,INR,Bsnl landline
04/09/2023,Cash,Loan,589,INR,589,INR,Credit card
04/09/2023,Cash,Food,-10,INR,-10,INR,Banana
05/09/2023,Cash,Food,-581,INR,-581,INR,Groccery 
05/09/2023,Cash,Food,-194,INR,-194,INR,Fruits and veggies 
05/09/2023,Cash,Transport,-100,INR,-100,INR,Transportation 
05/09/2023,Cash,Dad's expenses,-55,INR,-55,INR,Xerox
05/09/2023,Cash,House construction,"-3,000",INR,"-3,000",INR,Devraj documents 
06/09/2023,Cash,Transport,-50,INR,-50,INR,Bus
06/09/2023,Cash,Transport,-10,INR,-10,INR,Bus
06/09/2023,Cash,Taxi,-130,INR,-130,INR,Auto
06/09/2023,Cash,Transport,-70,INR,-70,INR,Transportation
06/09/2023,Cash,Unexpected,-100,INR,-100,INR,Gejje repair
06/09/2023,Cash,House construction,-140,INR,-140,INR,Screw driver jallary
06/09/2023,Cash,Food,-370,INR,-370,INR,Groccery
07/09/2023,Cash,Cashback,500,INR,500,INR,Haircut loan return.
07/09/2023,Cash,Car,-120,INR,-120,INR,Petrol
